wikidata_id,phd_romance,phd_germanic,phd_slavic
Q458629,9.24163731824754,9.795981260549445,9.149755453617605
Q133622,9.151880561954432,9.376047894170155,9.161252314934975
Q445455,8.557269374520029,8.31290055776227,8.017372904433552
Q11455,8.789756502265988,8.851654744878644,8.14814955329844
Q203937,8.75452247394721,9.710761684667418,8.89004394066679
Q2042,8.947398719068284,9.36642546045115,9.149454447900101
Q590252,9.362334323769186,10.072531090236883,10.604065407887736
Q7742,10.105995278595403,10.02156070556544,8.961043252047851
Q140,8.104877019412271,8.995872530072205,8.957330045780937
Q162719,8.339226067193588,9.448565151807294,8.300134489875225
Q9215,7.85222215955274,7.827742508466304,8.398783873385858
Q9158,7.874235105759254,9.184903455274878,8.402084373361673
Q44279,7.648647764707301,7.490022658189218,7.033679402562911
Q134435,8.346319759212383,7.999528806960386,8.549676424347885
Q5806,6.365546655677701,6.713892857091615,6.758985947722833
Q200253,9.051019505999282,9.135584167628402,9.260354057435725
Q59534,9.31479998638224,9.360014276373521,9.224533389198237
Q164150,8.32977404452488,9.12824507639226,9.027973097967884
Q143447,8.066918051443851,8.329219299697755,8.643792702621429
Q185802,8.759971512239693,8.930177962736742,9.670063415614562
Q723679,9.889631286361082,10.265274653261411,9.503525516730198
Q203868,8.108650793393817,7.74526043637842,8.000229423289964
Q37105,7.864207642528482,8.24082291552256,7.985320427143513
Q311368,7.541685120572875,7.851698413316103,8.27554816350392
Q11034,8.16719218742093,7.940639823335105,8.379068538031525
Q1867,8.136904962536406,8.978601773498287,8.079059671026883
Q23548,8.361855142037285,9.199030971484147,9.247846150812105
Q153858,8.199203844850185,9.03453570588579,8.351293423917909
Q9095390,7.758257446252568,8.377773186115316,7.946044242371807
Q12131,7.693511613685715,7.911700096238838,7.778863055613131
Q176848,8.115865330969186,8.131336162242672,8.375263594137374
Q53001,9.221439560557315,8.779463038341186,7.932826789125066
Q641196,7.393711919841359,8.261005519715292,8.037800577448003
Q10884,7.69660152784987,9.006175255027198,8.040107720402784
Q316831,8.637164957027673,8.922684911447814,8.3511276818444
Q485093,8.598828312504601,8.670931205042194,9.45461250379627
Q483027,7.932910835658467,8.944258531462852,7.692492745951943
Q9106,9.408781911545406,9.364644650816278,8.96834929836191
Q238246,7.8814769261008335,8.464577792319872,9.13004503678742
Q40843,8.595215834377559,9.067701086502062,9.593551026859648
Q1943,7.63771185752057,8.711370306619736,8.908952579818203
Q199771,8.722779931317666,8.942985253194658,8.986960305856565
Q4612,8.615420902610234,8.155367509062577,8.341294742330426
Q83186,8.541833040295042,9.579815993757062,9.03211692777075
Q582667,8.164556352804228,8.789586016378058,8.919975443298322
Q189783,7.746569097261268,8.465197092247214,7.86903289726407
Q37470,8.959977066721928,9.82299768209905,9.690518731604833
Q170480,9.94205190737789,10.279267601970759,10.746230043928257
Q312571,8.442258121992797,8.669807495499745,8.74218924694975
Q25277,8.060709415100854,8.631159651657565,8.99022886663125
Q217073,9.421892229617741,9.60027125493362,9.43089237529645
Q40317,7.749604586904158,7.871196844639107,8.491089635964503
Q502781,7.802564055442318,8.482400747948963,8.704702671182627
Q740417,7.145559650430432,7.612418300771362,7.313007889203064
Q48277,8.306936202215562,9.295075020229023,8.708855345049267
Q48438,9.194740935022509,8.925731223851818,9.231979263766043
Q103474,9.536997339620996,9.461714195326275,9.937839013511397
Q1370,7.7122207027580725,8.463840432378133,7.941250945072317
Q22732,9.846139368258287,9.893386551904387,9.654712778316181
Q179530,8.585080072404388,8.840576625239073,8.658496998462489
Q148,7.704889188786749,8.135148560242339,7.814301838084527
Q323862,9.571136041876708,9.446589580788622,9.140840531169054
Q12892,8.764366751429256,9.2498410732163,8.986965391924901
Q191564,8.125570626696923,8.211213051913996,8.354215793781535
Q152946,9.011374002080224,9.462791264764702,8.65230184645309
Q229,8.538648725205473,8.63250244378646,8.540730008557267
Q33788,8.440495889776116,9.127075164989135,9.00423949267702
Q41403,9.373290157578827,9.357947737993017,10.1509110933466
Q8676,7.6521169843555725,8.448855076232347,8.616505232964954
Q168518,9.898682999318552,9.999654844362851,9.56028671815537
Q178243,7.827862379009202,8.291008528674244,8.463019920019846
Q83341,7.928484754869863,8.962620147750327,7.6151771974113895
Q107089,7.83150090337097,8.987760472290159,8.463297166134415
